"Package","Version"
"abind","1.4-8"
"airway","1.26.0"
"AnnotationDbi","1.68.0"
"ape","5.8-1"
"apeglm","1.28.0"
"aplot","0.2.9"
"ashr","2.2-63"
"askpass","1.2.1"
"assertthat","0.2.1"
"babelgene","22.9"
"backports","1.5.0"
"base64enc","0.1-3"
"base64url","1.4"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"beeswarm","0.4.0"
"BH","1.87.0-1"
"Biobase","2.66.0"
"BiocFileCache","2.14.0"
"BiocGenerics","0.52.0"
"BiocManager","1.30.26"
"BiocParallel","1.40.0"
"BiocVersion","3.20.0"
"biomaRt","2.62.1"
"Biostrings","2.74.1"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.10"
"bslib","0.9.0"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caret","7.0-1"
"caTools","1.18.3"
"cellranger","1.1.0"
"checkmate","2.3.3"
"chron","2.3-62"
"circlize","0.4.16"
"cli","3.6.4"
"clipr","0.8.0"
"clock","0.7.3"
"clue","0.3-66"
"clusterProfiler","4.14.6"
"coda","0.19-4.1"
"coin","1.4-3"
"colorspace","2.1-1"
"commonmark","2.0.0"
"ComplexHeatmap","2.22.0"
"conflicted","1.2.0"
"CorLevelPlot","0.99.0"
"corrplot","0.95"
"corto","1.2.4"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"curl","7.0.0"
"data.table","1.17.8"
"DBI","1.2.3"
"dbplyr","2.5.1"
"DelayedArray","0.32.0"
"deldir","2.0-4"
"DEoptimR","1.1-4"
"Deriv","4.2.0"
"desc","1.4.3"
"DESeq2","1.46.0"
"devtools","2.4.6"
"diagram","1.6.5"
"diffobj","0.3.6"
"digest","0.6.37"
"doBy","4.7.0"
"doParallel","1.0.17"
"DOSE","4.0.1"
"dotCall64","1.2"
"DoubletFinder","2.0.5"
"downlit","0.4.4"
"dplyr","1.1.4"
"dqrng","0.4.1"
"dtplyr","1.3.2"
"dynamicTreeCut","1.63-1"
"e1071","1.7-16"
"ellipsis","0.3.2"
"emdbook","1.3.14"
"emmeans","2.0.0"
"EnhancedVolcano","1.24.0"
"enrichplot","1.26.6"
"estimability","1.5.1"
"etrunct","0.1"
"evaluate","1.0.5"
"fansi","1.0.6"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastDummies","1.7.5"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fgsea","1.32.4"
"fields","17.1"
"filelock","1.0.3"
"fitdistrplus","1.2-4"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"formatR","1.14"
"Formula","1.2-5"
"formula.tools","1.7.1"
"fs","1.6.6"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.67.0"
"future.apply","1.20.0"
"gargle","1.6.0"
"generics","0.1.4"
"GenomeInfoDb","1.42.3"
"GenomeInfoDbData","1.2.13"
"GenomicRanges","1.58.0"
"GEOquery","2.74.0"
"gert","2.1.5"
"GetoptLong","1.0.5"
"ggbeeswarm","0.7.3"
"ggdendro","0.2.0"
"ggforce","0.5.0"
"ggfun","0.2.0"
"ggnewscale","0.5.2"
"ggplot2","4.0.0"
"ggplotify","0.1.3"
"ggpubr","0.6.1"
"ggraph","2.2.2"
"ggrepel","0.9.6"
"ggridges","0.5.7"
"ggsci","4.0.0"
"ggsignif","0.6.4"
"ggtangle","0.0.7"
"ggtree","3.14.0"
"ggupset","0.4.1"
"gh","1.5.0"
"gitcreds","0.1.2"
"glmnet","4.1-10"
"GlobalOptions","0.1.2"
"globals","0.18.0"
"glue","1.8.0"
"GO.db","3.20.0"
"goftest","1.2-3"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"GOSemSim","2.32.0"
"gower","1.0.2"
"gplots","3.2.0"
"graph","1.84.1"
"graphlayouts","1.2.2"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"grImport2","0.3-3"
"gson","0.1.0"
"gsubfn","0.7"
"gtable","0.3.6"
"gtools","3.9.5"
"hardhat","1.4.2"
"harmony","1.2.4"
"hash","2.2.6.3"
"haven","2.5.5"
"hdf5r","1.3.12"
"here","1.0.2"
"highr","0.11"
"Hmisc","5.2-4"
"hms","1.1.3"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
