Z_threshold,SD_percentile,SD_threshold,programme_n,signature_n,n_up,n_down,jaccard_vs_primary
4,0.85,1.734,756,68,44,24,0.240963855
4.5,0.85,1.734,545,39,26,13,0.37037037
5,0.85,1.734,413,20,14,6,0.571428571
5.5,0.85,1.734,287,10,8,2,0.285714286
6,0.85,1.734,221,6,5,1,0.171428571
4,0.9,2.131,756,129,81,48,0.271317829
4.5,0.9,2.131,545,71,45,26,0.492957746
5,0.9,2.131,413,35,26,9,1
5.5,0.9,2.131,287,14,12,2,0.4
6,0.9,2.131,221,7,6,1,0.2
4,0.95,2.805,756,274,160,114,0.127737226
4.5,0.95,2.805,545,156,95,61,0.224358974
5,0.95,2.805,413,89,60,29,0.393258427
5.5,0.95,2.805,287,38,29,9,0.237288136
6,0.95,2.805,221,18,15,3,0.152173913
