Tumour,Ensembl_ID,Gene_Symbol,Module
OPSCC,ENSG00000000460,FIRRM,grey
VSCC,ENSG00000000460,FIRRM,grey
VSCC,ENSG00000000938,FGR,blue
HNC,ENSG00000000938,FGR,blue
VSCC,ENSG00000000971,CFH,brown
OPSCC,ENSG00000000971,CFH,turquoise
OPSCC,ENSG00000001561,ENPP4,black
HNC,ENSG00000001561,ENPP4,blue
OPSCC,ENSG00000001626,CFTR,blue
HNC,ENSG00000001626,CFTR,pink
HNC,ENSG00000002079,NA,turquoise
VSCC,ENSG00000002549,LAP3,blue
HNC,ENSG00000002587,HS3ST1,turquoise
OPSCC,ENSG00000002587,HS3ST1,turquoise
VSCC,ENSG00000002587,HS3ST1,grey
VSCC,ENSG00000002726,AOC1,grey
HNC,ENSG00000002726,AOC1,blue
OPSCC,ENSG00000002726,AOC1,brown
VSCC,ENSG00000002745,WNT16,black
OPSCC,ENSG00000002745,WNT16,yellow
HNC,ENSG00000002745,WNT16,grey
HNC,ENSG00000002746,HECW1,turquoise
VSCC,ENSG00000002746,HECW1,grey
OPSCC,ENSG00000002746,HECW1,turquoise
HNC,ENSG00000002822,MAD1L1,turquoise
HNC,ENSG00000003096,KLHL13,grey
HNC,ENSG00000003137,CYP26B1,turquoise
VSCC,ENSG00000003137,CYP26B1,grey
OPSCC,ENSG00000003137,CYP26B1,blue
OPSCC,ENSG00000003147,ICA1,turquoise
HNC,ENSG00000003147,ICA1,blue
HNC,ENSG00000003249,DBNDD1,yellow
VSCC,ENSG00000003249,DBNDD1,grey
HNC,ENSG00000003400,CASP10,blue
OPSCC,ENSG00000003436,TFPI,grey
VSCC,ENSG00000003436,TFPI,turquoise
HNC,ENSG00000003436,TFPI,grey
OPSCC,ENSG00000003987,MTMR7,magenta
HNC,ENSG00000003989,SLC7A2,brown
VSCC,ENSG00000003989,SLC7A2,turquoise
OPSCC,ENSG00000003989,SLC7A2,brown
HNC,ENSG00000004139,SARM1,brown
OPSCC,ENSG00000004468,CD38,grey
HNC,ENSG00000004468,CD38,blue
VSCC,ENSG00000004468,CD38,blue
HNC,ENSG00000004660,CAMKK1,blue
OPSCC,ENSG00000004660,CAMKK1,grey
HNC,ENSG00000004776,HSPB6,green
VSCC,ENSG00000004776,HSPB6,turquoise
OPSCC,ENSG00000004776,HSPB6,turquoise
HNC,ENSG00000004777,ARHGAP33,turquoise
VSCC,ENSG00000004777,ARHGAP33,green
OPSCC,ENSG00000004799,PDK4,turquoise
VSCC,ENSG00000004799,PDK4,turquoise
HNC,ENSG00000004799,PDK4,pink
HNC,ENSG00000004809,SLC22A16,brown
HNC,ENSG00000004838,ZMYND10,turquoise
OPSCC,ENSG00000004838,ZMYND10,brown
OPSCC,ENSG00000004848,ARX,turquoise
OPSCC,ENSG00000004939,SLC4A1,red
OPSCC,ENSG00000005001,PRSS22,green
HNC,ENSG00000005001,PRSS22,yellow
VSCC,ENSG00000005001,PRSS22,brown
HNC,ENSG00000005073,HOXA11,turquoise
OPSCC,ENSG00000005073,HOXA11,green
VSCC,ENSG00000005075,POLR2J,yellow
OPSCC,ENSG00000005102,MEOX1,red
VSCC,ENSG00000005102,MEOX1,grey
HNC,ENSG00000005102,MEOX1,brown
HNC,ENSG00000005187,ACSM3,blue
OPSCC,ENSG00000005187,ACSM3,yellow
HNC,ENSG00000005189,REXO5,turquoise
VSCC,ENSG00000005206,SPPL2B,grey
HNC,ENSG00000005243,COPZ2,blue
VSCC,ENSG00000005243,COPZ2,grey
OPSCC,ENSG00000005243,COPZ2,turquoise
OPSCC,ENSG00000005249,PRKAR2B,yellow
HNC,ENSG00000005249,PRKAR2B,blue
OPSCC,ENSG00000005379,TSPOAP1,yellow
HNC,ENSG00000005379,TSPOAP1,brown
VSCC,ENSG00000005379,TSPOAP1,blue
OPSCC,ENSG00000005471,ABCB4,grey
OPSCC,ENSG00000005513,SOX8,yellow
HNC,ENSG00000005513,SOX8,brown
VSCC,ENSG00000005844,ITGAL,blue
HNC,ENSG00000005844,ITGAL,blue
OPSCC,ENSG00000005844,ITGAL,brown
VSCC,ENSG00000005882,PDK2,grey
HNC,ENSG00000005884,ITGA3,turquoise
OPSCC,ENSG00000005884,ITGA3,turquoise
VSCC,ENSG00000005884,ITGA3,grey
VSCC,ENSG00000005961,ITGA2B,green
OPSCC,ENSG00000005961,ITGA2B,turquoise
OPSCC,ENSG00000005981,ASB4,grey
VSCC,ENSG00000006015,REX1BD,yellow
VSCC,ENSG00000006016,CRLF1,grey
HNC,ENSG00000006016,CRLF1,yellow
OPSCC,ENSG00000006016,CRLF1,turquoise
HNC,ENSG00000006042,TMEM98,turquoise
OPSCC,ENSG00000006042,TMEM98,black
HNC,ENSG00000006047,YBX2,turquoise
VSCC,ENSG00000006047,YBX2,green
OPSCC,ENSG00000006047,YBX2,black
OPSCC,ENSG00000006062,MAP3K14,brown
HNC,ENSG00000006062,MAP3K14,brown
VSCC,ENSG00000006071,ABCC8,turquoise
VSCC,ENSG00000006118,TMEM132A,grey
OPSCC,ENSG00000006118,TMEM132A,grey
VSCC,ENSG00000006125,AP2B1,green
HNC,ENSG00000006210,CX3CL1,blue
VSCC,ENSG00000006210,CX3CL1,blue
OPSCC,ENSG00000006210,CX3CL1,blue
VSCC,ENSG00000006282,SPATA20,yellow
HNC,ENSG00000006283,CACNA1G,turquoise
OPSCC,ENSG00000006283,CACNA1G,blue
VSCC,ENSG00000006327,TNFRSF12A,grey
HNC,ENSG00000006327,TNFRSF12A,turquoise
OPSCC,ENSG00000006327,TNFRSF12A,brown
OPSCC,ENSG00000006377,DLX6,grey
HNC,ENSG00000006377,DLX6,brown
VSCC,ENSG00000006432,MAP3K9,grey
VSCC,ENSG00000006451,RALA,red
OPSCC,ENSG00000006453,BAIAP2L1,brown
VSCC,ENSG00000006459,KDM7A,grey
VSCC,ENSG00000006468,ETV1,grey
OPSCC,ENSG00000006468,ETV1,red
HNC,ENSG00000006468,ETV1,brown
OPSCC,ENSG00000006534,ALDH3B1,red
VSCC,ENSG00000006555,TTC22,brown
OPSCC,ENSG00000006555,TTC22,green
HNC,ENSG00000006606,CCL26,blue
HNC,ENSG00000006611,USH1C,turquoise
VSCC,ENSG00000006638,TBXA2R,turquoise
VSCC,ENSG00000006652,IFRD1,grey
HNC,ENSG00000006740,ARHGAP44,green
