Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000171346,KRT15,turquoise,turquoise,grey,2.82,2.43,1.13,7.78,1.63,Yes
ENSG00000137819,PAQR5,yellow,yellow,grey,-2.21,-2.53,-1.39,-7.46,1.4,Yes
ENSG00000171766,GATM,turquoise,black,yellow,2.38,1.5,0.72,6.99,1.52,Yes
ENSG00000128408,RIBC2,turquoise,black,green,2.27,1.29,1.26,6.92,1.98,Yes
ENSG00000143502,SUSD4,turquoise,black,brown,1.54,1.97,1.31,6.74,0.85,Yes
ENSG00000162639,HENMT1,turquoise,Not in network,grey,1.85,1.11,0.05,6.11,1.73,Yes
ENSG00000186204,CYP4F12,turquoise,turquoise,green,2.77,2.18,1.4,6.08,0.55,Yes
ENSG00000120915,EPHX2,turquoise,black,grey,1.89,1.63,0.05,5.94,2.11,Yes
ENSG00000243290,IGKV1-12,blue,brown,red,3.66,2.7,0.01,5.72,2,Yes
ENSG00000084652,TXLNA,Not in network,Not in network,Not in network,0.99,0.36,0.5,5.7,1.91,Yes
ENSG00000149636,DSN1,Not in network,Not in network,Not in network,0.9,0.44,0.69,5.7,1.55,Yes
ENSG00000157368,IL34,blue,brown,yellow,2.03,1.21,0.05,5.67,1.42,Yes
ENSG00000214357,NEURL1B,brown,blue,green,1.6,0.9,0.38,5.64,1.59,Yes
ENSG00000163162,RNF149,Not in network,Not in network,Not in network,-0.84,-0.48,-0.61,-5.51,1.27,Yes
ENSG00000109321,AREG,turquoise,yellow,grey,-3.04,-0.21,-0.05,-5.43,1.76,Yes
ENSG00000110092,CCND1,turquoise,black,grey,-0.79,-1.82,-0.14,-5.43,1.48,Yes
ENSG00000099958,DERL3,blue,brown,red,2.01,2.09,0.03,5.41,2.07,Yes
ENSG00000100307,CBX7,turquoise,brown,turquoise,1.57,1.18,0.05,5.4,1.89,Yes
ENSG00000178752,ERFE,turquoise,brown,grey,-2.53,-0.21,-0.05,-5.36,2.02,Yes
ENSG00000163239,TDRD10,turquoise,turquoise,grey,3.13,1.73,0.03,5.34,1.96,Yes
ENSG00000188039,NWD1,brown,black,brown,3.22,2.05,0.02,5.34,1.41,Yes
ENSG00000255571,MIR9-3HG,turquoise,black,green,2.65,0.09,2.15,5.33,1.91,Yes
ENSG00000105011,ASF1B,Not in network,black,brown,1.42,0.24,0.69,5.29,1.96,Yes
ENSG00000211677,IGLC2,blue,brown,red,3.21,2.04,0.02,5.28,1.96,Yes
ENSG00000049246,PER3,Not in network,Not in network,grey,1.2,0.56,0.87,5.19,0.83,Yes
ENSG00000115602,IL1RL1,turquoise,yellow,brown,-3.01,-1.28,-0.03,-5.18,2.05,Yes
ENSG00000231453,LINC01305,brown,black,green,2.77,2.49,0.01,5.18,1.62,Yes
ENSG00000173156,RHOD,turquoise,brown,grey,-2.46,-1.07,-0.05,-5.17,1.38,Yes
ENSG00000240764,PCDHGC5,turquoise,turquoise,grey,-1.92,-2.57,-0.07,-5.17,1.09,Yes
